jornada,gamecode,date
1,10,2025-10-01T18:00:00Z
1,8,2025-10-01T17:45:00Z
1,9,2025-10-01T17:30:00Z
1,7,2025-09-30T18:45:00Z
1,2,2025-09-30T18:30:00Z
1,6,2025-09-30T18:15:00Z
1,3,2025-09-30T18:00:00Z
1,1,2025-09-30T17:45:00Z
1,5,2025-09-30T16:00:00Z
1,4,2025-09-30T16:00:00Z
2,15,2025-10-03T19:30:00Z
2,19,2025-10-03T18:30:00Z
2,18,2025-10-03T18:15:00Z
2,17,2025-10-03T18:00:00Z
2,16,2025-10-03T17:30:00Z
2,14,2025-10-03T17:30:00Z
2,20,2025-10-03T17:00:00Z
2,13,2025-10-02T18:45:00Z
2,12,2025-10-02T18:30:00Z
2,11,2025-10-02T18:30:00Z
3,29,2025-10-10T18:30:00Z
3,28,2025-10-10T18:30:00Z
3,27,2025-10-10T18:15:00Z
3,30,2025-10-10T17:45:00Z
3,25,2025-10-09T19:00:00Z
3,24,2025-10-09T18:45:00Z
3,26,2025-10-09T18:30:00Z
3,23,2025-10-09T18:30:00Z
3,22,2025-10-09T18:30:00Z
3,21,2025-10-08T18:05:00Z
4,38,2025-10-15T18:45:00Z
4,37,2025-10-15T18:45:00Z
4,40,2025-10-15T18:30:00Z
4,39,2025-10-15T18:30:00Z
4,36,2025-10-15T18:15:00Z
4,32,2025-10-14T18:30:00Z
4,34,2025-10-14T18:15:00Z
4,31,2025-10-14T18:00:00Z
4,33,2025-10-14T17:45:00Z
4,35,2025-10-14T17:00:00Z
5,50,2025-10-17T18:45:00Z
5,47,2025-10-17T18:45:00Z
5,49,2025-10-17T18:00:00Z
5,46,2025-10-17T17:30:00Z
5,45,2025-10-17T17:30:00Z
5,48,2025-10-17T17:00:00Z
5,43,2025-10-16T19:00:00Z
5,42,2025-10-16T17:45:00Z
5,44,2025-10-16T17:00:00Z
5,41,2025-10-16T16:00:00Z
6,58,2025-10-24T18:45:00Z
6,59,2025-10-24T18:30:00Z
6,60,2025-10-24T18:00:00Z
6,57,2025-10-24T17:30:00Z
6,52,2025-10-23T19:00:00Z
6,54,2025-10-23T18:30:00Z
6,53,2025-10-23T18:30:00Z
6,55,2025-10-23T18:05:00Z
6,56,2025-10-23T17:30:00Z
6,51,2025-10-22T18:05:00Z
7,70,2025-10-29T19:15:00Z
7,69,2025-10-29T18:00:00Z
7,67,2025-10-28T20:00:00Z
7,66,2025-10-28T19:45:00Z
7,63,2025-10-28T19:30:00Z
7,61,2025-10-28T19:30:00Z
7,65,2025-10-28T19:15:00Z
7,64,2025-10-28T19:00:00Z
7,68,2025-10-28T18:00:00Z
7,62,2025-10-28T18:00:00Z
8,80,2025-10-31T19:30:00Z
8,78,2025-10-31T19:30:00Z
8,79,2025-10-31T19:15:00Z
8,77,2025-10-31T18:00:00Z
8,74,2025-10-30T20:00:00Z
8,75,2025-10-30T19:30:00Z
8,72,2025-10-30T19:30:00Z
8,71,2025-10-30T19:30:00Z
8,73,2025-10-30T19:05:00Z
8,76,2025-10-30T18:00:00Z
9,88,2025-11-07T19:30:00Z
9,89,2025-11-07T19:15:00Z
9,90,2025-11-07T18:00:00Z
9,87,2025-11-07T17:30:00Z
9,81,2025-11-06T20:00:00Z
9,82,2025-11-06T19:30:00Z
9,86,2025-11-06T19:05:00Z
9,85,2025-11-06T17:45:00Z
9,84,2025-11-06T16:00:00Z
9,83,2025-11-05T19:00:00Z
10,99,2025-11-12T19:30:00Z
10,98,2025-11-12T19:30:00Z
10,100,2025-11-12T19:15:00Z
